Language,numberofpages,author,bookEdition,description,title,GoodReadAverageRating,bookformat,NumberofRatings,id
English,316 pages,Erin Gruwell,10th Anniversary Edition,"As an idealistic twenty-three-year-old English teacher at Wilson High School in Long beach, California, Erin Gruwell confronted a room of “unteachable, at-risk” students. One day she intercepted a note with an ugly racial caricature, and angrily declared that this was precisely the sort of thing that led to the Holocaust—only to be met by uncomprehending looks. So she and her students, using the treasured books ",The Freedom Writers Diary: How a Teacher and 150 Teens Used Writing to Change Themselves and the World Around Them,4.09,Paperback,12150,47304
English,371 pages,Frank Beddor,First Edition,Alyss' life is a challe,Seeing Redd,3.85,Hardcover,15759,289695
English,513 pages,Django Wexler,US edition,"Captain Marcus d’Ivoire, commander of one of the Vordanai empire’s colonial garrisons, was resigned to serving out his days in a sleepy, remote outpost. But that was before a rebellion upended his life. And once the",The Thousand Names,4.04,Hardcover,11996,15810910
English,192 pages,Chuck Palahniuk,First Edition, is a ,Tell-All,2.84,Hardcover,11119,6855294
English,223 pages,Agatha Christie,Agatha Christie Collection,"An old-fashioned London Hotel is not quite as reputable as it makes out! When Miss Marple comes up from the country for a holiday in London, she finds what she's looking for at Bertram's Hotel: traditional decor, impeccable service and an unmistakable atmosphere of danger behind the highly polished veneer. Yet, not even Miss Marple can foresee the violent chain of events set in motion when an eccentric guest makes his way to the airport on the wrong day!",At Bertram's Hotel,3.7,Paperback,17491,16333
English,32 pages,Paul Galdone,Folk Tale Classics  Series,"Paul Galdone (1907 - November 7, 1986) was a children's literature author and illustrator. He was born in Budapest and he emigrated to the United States in 1921. He studied art at the Art Student's League and New York School for Industrial Design. He served for the US Army during world War II.",The Three Billy Goats Gruff,4.15,Paperback,13133,789559
English,906 pages,Christiane Northrup,Revised," quickly became an international bestseller, and for the past fifteen years it has remained the veritable bible of women’s health. Now, in this revised and updated edition, world-renowned and much-beloved women’s health expert Dr. Christiane Northrup shares with us the latest developments and advances that","Women's Bodies, Women's Wisdom: Creating Physical and Emotional Health and Healing",4.32,Paperback,10758,131830
"
                  ",356 pages,Rainer Maria Rilke,Bilingual edition,"The influence and popularity of Rilke’s poetry in America have never been greater than they are today, more than fifty years after his death. Rilke is unquestionably the most significant and compelling poet of romantic transformation, of spiritual quest, that the twentieth century has known. His poems of ecstatic identification","
                  0679722017
                      ",4.4,Paperback,11395,46201
English,192 pages,Roger Zelazny,12th printing,"An unseen enemy of immense strength has seized a Prince of the Blood, and now threatens the perfect kingdom by striking at the very core of its power - the secret knowledge of Shadow.",Sign of the Unicorn,4.14,Mass Market Paperback,13481,239917
English,247 pages,Fyodor Dostoyevsky,thrift,"As with a number of the author's other works, this profoundly influential nov",Записки из Мёртвого дома,4.03,Paperback,12563,17877
English,480 pages,Vincent van Gogh,reprint,", for whom color was the chief symbol of expression, was born in Groot-Zundert, Holland. The son of a pastor, brought up in a religious and cultured atmosphere, Vincent was highly emotional and lacked self-confidence. Between 1860 and 1880, when he finally decided to become an artist, van Gogh had had two unsuitable and unhappy romances and had worked unsuccessfully as a cle",Dear Theo: The Letters of Vincent Van Gogh,4.1,Paperback,9866,198511
English,410 pages,James Rollins,1st,"The crash of a U.S. military research satellite in the remote wilds of Mongolia triggers an explosive search for the valuable cargo it holds: a code-black physics project connected to the study of dark energy, the energy connected to the birth of our universe. But the last blurry image from the falling satellite captures a chilling sight: a frightening look into the future, a view of a smoldering eastern seaboard of the United States in utter ruin.",The Eye of God: A Sigma Force Novel,4.11,Hardcover,12543,16065538
English,295 pages,Benedict Jacka,1st Edition,But when Alex is approached by multiple factions to crack open a relic from a long-ago,Fated,3.89,Mass Market Paperback,15068,11737387
