bookEdition,NumberofRatings,title,author,id,description,numberofpages,GoodReadAverageRating,Language,bookformat
First American Edition,15793,Netherland,Joseph O'Neill,2615008,"In a New York City made phantasmagorical by the events of 9/11, Hans--a banker originally from the Netherlands--finds himself marooned among",269 pages,3.4,English,Hardcover
First,18032,Azincourt ,Bernard Cornwell,3276012,". It has always been held to be the triumph of the longbow against the armoured knight, and of the comm",453 pages,4.11,English,Hardcover
3rd,14762,易 [Yì],Anonymous,534289,", or Book of Changes, is one of the 1st efforts of the human mind to place itself within the universe. It has exerted a living influence in China for 3000 years and interest in it has spread in the West. ",740 pages,4.18,English,Hardcover
Stage Adaptation,19278,Interesting Times,Stephen Briggs,34508,who graduated from Curtin University with a double major in Theatre Arts and Creative Writing before attending WAPPA and studying Broadcasting. Midway through his time there he decided he didn't want to be a journo and moved,102 pages,4.1,English,Paperback
Reprint,16072,The Onion Field,Joseph Wambaugh,487445,"Joseph Wambaugh, a former LAPD detective sergeant (1960-1974), is the bestselling author of twenty-one prior works of fiction and nonfiction, including The Choirboys and The Onion Field. Wambaugh joined the Los Angeles Police Department (LAPD) in 1960. He served 14 years, rising to detective sergeant. He also attended California State University, Los Angeles, where he earned Bachelor of Arts and M",512 pages,4.13,English,Paperback
Large print,16668,Cross Justice,James Patterson,25066591,"Now his cousin Stefan has been accused of a horrible, unthinkable murder, and Cross drives south with Bree, Nana Mama, Jannie, and Ali to Starksville, North Carolina, for the first time in thirty-f",528 pages,4.22,English,Hardcover
First Edition,22295,Motor Mouth,Janet Evanovich,6426,"Janet Evanovich is the #1 New York Times bestselling author of the Stephanie Plum series, the Lizzy and Diesel series, twelve romance novels, the Alexandra Barnaby novels and Trouble Maker graphic novel, and How I Write: Secrets of a Bestselling Author, as well as the Fox and O'Hare series with co-author Lee Goldberg.",312 pages,3.66,English,Hardcover
Unabridged,21234,New York to Dallas,J.D. Robb,10402992,"Twelve years ago, Eve Dallas was just a rookie NY cop when her instincts led her to the apartment of Isaac McQueen, a man she discovered to be a sick murderer and pedophile, who was keeping young girls in cages. Now a homicide Lieutenant, Eve is one of the most distinguished officers in the city—and then she learns that McQueen has escaped from jail. Bent on revenge against Eve and with a need to punish more ""bad girls"" McQueen heads to Dallas, Texas—the place where Eve was found as a child, the place where she killed her own abusive monster when she was only eight years old. With Eve and Roarke in pursuit of McQueen, everything is on the line and secrets from Eve's past are about to be shockingly revealed.",14 pages,4.42,English,Audio CD
First Touchstone Edition,16001,The Longest Day,Cornelius Ryan,161156,"The Longest Day is Cornelius Ryan's unsurpassed account of D-Day, a book that endures as a masterpiece of military history. In this compelling tale of courage and heroism, glory and tragedy, Ryan painstakingly recreates the fateful hours that preceded and followed the massive invasion of Normandy to retell the story of",350 pages,4.31,English,Paperback
Second,24044,If I were you,Lisa Renee Jones,15717721,"One day I was a high school teacher on summer break, leading a relatively uneventful but happy life. Or so I told myself. Later, I’d question that, as I would question pretty much everything I knew about me, my relationships, and my desires. It all began when my neighbor thrust a key to a storage unit at me. She’d bought it to make extra money after watc",384 pages,4.14,                                  ,ebook
First Edition,17027,The Baker's Daughter,Sarah McCoy,12547098,"In 1945, Elsie Schmidt is a naive teenager, as eager for her first sip of champag",304 pages,3.95,English,Hardcover
First Edition,25310,Swallowing Darkness,Laurell K. Hamilton,2798094,Bearing an hei,365 pages,4.13,English,Hardcover
1st Edition,21009,Bloody Valentine,Melissa de la Cruz,7817785,In ,147 pages,3.98,English,Hardcover
Omnibus Edition,17438,"The Morganville Vampires, Volume 1",Rachel Caine,6571723,"Morganville is a small college town in the heart of Texas that has its share of quirky characters - and some evil ones too. When student Claire Danvers moves off campus into one of Morganville's oldest houses, she finds that her roommates don't show many signs of life. But they'll have Claire's back when the town's deepest secrets come crawling out, hungry for fresh blood.",452 pages,4.36,English,Paperback
First Signet Classic Printing,16795,The Day of the Locust,Nathanael West,113441," is a novel about Hollywood and its corrupting touch, about the American dream turned into a sun-drenched California nightmare. Nathanael West's Hollywood is not the glamorous ""home of the stars"" but a seedy world of little people, some hopeful, some despairing, all twisted by their by their own desires -- from the ironically romantic artist narrator to a macho movie cowboy, a middle-aged innocent from America's heartland, and the hard-as-nails call girl would-be-star whom they all lust after. An unforgettable portrayal of a world that mocks the real and rewards the sham, turns its back on love to plunge into empty sex, and breeds a savage violence that is its own undoing, this novel stands as a classic indictment of all that is most extravagant and uncontrolled in American life.",208 pages,3.78,English,Paperback
1st edition,29344,Rock the Heart,Michelle A. Valentine,16047244,"For the last four years, good girl Lane has regretted breaking up with Noel Falcon. She thought she was sensible when she told him his dreams of being a rock star would get him nowhere, but now that he's a rock god and her career is stagnant, she realizes just how wrong she was. When Noel hires the marketing company where Lane is an intern, she’s forced to see him again. If she wants to land her dream job as executive within the company, she has to win him over and secure his account. Too bad Noel is still pissed at her for breaking his heart.",330 pages,4.01,"
                  ",Kindle Edition
