title,GoodReadAverageRating,description,bookformat,id,numberofpages,NumberofRatings,author,bookEdition,Language
Without Fail ,4.16,"Skilled, cautious, and anonymous, Jack Reacher is perfect for the job: to assassinate the vice president of the United States. Theoretically, of course. A female Secret Service agent wants Reacher to find the holes in her system, and fast - because a covert group already has the vice president in their sights. They've planned well. There's just one thing they didn't plan on: Reacher.",Audiobook,21745,374 pages,64052,Lee Child,Unabridged,English
The Next Always,4.11,"The historic hotel in Boonsboro has endured war and peace, changing hands, even rumored hauntings. Now it’s getting a major facelift from the Montgomery brothers and their eccentric mother. Beckett is the architect of the family, and his social life consists mostly of talking shop over pizza and beer. But there’s another project he’s got his eye on: the girl he’s been waiting to kiss since he was fifteen.",Audio CD,10305231,352 pages,63478,Nora Roberts,Unabridged - Library Ed,English
Ivanhoe,3.75," (1819) was the first of Scott's novels to adopt a purely English subject and was also his first attempt to combine history and romance, which later influenced Victorian medievalism. Set at the time of the Norman Conquest, Ivanhoe returns from the Crusades to claim his inheritance and the love of Rowena and becomes involved in the struggle between Richard Coeur de Lion and his Norman brother John. The gripping narrative is structured by a series of conflicts: Saxon versus Norman, Christian versus Jew, men versus women, played out against Scott's unflinching moral realism.",Paperback,6440,544 pages,71832,Walter Scott,Penguin Classics,English
Changes,4.54,"Now Arianna Ortega, Duchess of the Red Court, has discovered a secret Susan has",Hardcover,6585201,438 pages,73171,Jim Butcher,1st Edition,English
Emotional Intelligence,3.98,", we could only guess why. Daniel Goleman's brilliant report from the frontiers of psychology and neuroscience offers startling new insight into our ""two minds""—the rational and the emotional—and how they together shape our destiny.",Hardcover,26329,384 pages,53743,Daniel Goleman,10th Anniversary Edition,English
Magician,4.17,"Raymond E. Feist was born Raymond E. Gonzales III, but took his adoptive step-father's surname when his mother remarried Felix E. Feist. He graduated with a B.A. in Communication Arts with Honors in 1977 from the University of California at San Diego. During that year Feist had some ideas for a novel about a boy who would be a magician. He wrote the novel two years later, and it was published in 1",Mass Market Paperback,13812,485 pages,65429,Raymond E. Feist,Author's Preferred Edition,English
"Full Dark, No Stars",4.03,"The story opens with the confession of Wilfred James to the murder of his wife, Arlette, following their move to Hemingford, Nebraska onto land willed to Arlette by her father.",Hardcover,7912007,368 pages,70001,Stephen King,First Edition,English
Masquerade,3.91,"Schuyler Van Alen is starting to get more comfortable with her newfound vampire powers, but she still has many unanswered questions. A trip to Italy in search of her grandfather only serves to make things more confusing. What secrets are the leaders of The Committee hiding? Meanwhile, back in New York, preparations are feverishly underway for the famous Four Hundred Ball. In true Blue Blood fashion, the ball is totally fab, complete with masksâ€”and hidden behind this masquerade is a revelation that will change the course of a young vampireâ€™s destiny.",Hardcover,106085,307 pages,79919,Melissa de la Cruz,1st Edition,English
Crossroads of Twilight,3.82, from the ,Hardcover,113435,704 pages,69005,Robert Jordan,First Edition,English
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,4.17,"Randall Munroe left NASA in 2005 to start up his hugely popular site XKCD 'a web comic of romance, sarcasm, math and language' which offers a witty take on the world of science and geeks. It now has 600,000 to a million page hits daily. Every now and then, Munroe would get emails asking him to arbitrate a science debate. 'My friend and I were arguing about what would happen if a bullet got struck by lightning, and we agreed that you should resolve it . . . ' He liked these questions so much that he started up ",Hardcover,21413662,303 pages,73499,Randall Munroe,First Edition,English
The Diamond Age,4.19,"The Diamond Age: Or, A Young Lady's Illustrated Primer is a postcyberpunk novel by Neal Stephenson. It is to some extent a science fiction coming-of-age story, focused on a young girl named Nell, and set in a future world in which nanotechnology affects all aspects of life. The novel deals with themes of education, social class, ethnicity, and the nature of artificial intelligence.",Paperback,827,499 pages,67069,Neal Stephenson,Trade Reissue,English
