GoodReadAverageRating,bookEdition,Language,author,description,bookformat,id,numberofpages,title,NumberofRatings
3.98,Norton Critical Edition,English,Bram Stoker,"A rich selection of background and source materials is provided in three areas: Contexts includes probable inspirations for Dracula in the earlier works of James Malcolm Rymer and Emily Gerard. Also included are a discussion of Stoker's working notes for the novel and ""Dracula's Guest,"" the original opening chapter to Dracula. Reviews and Reactions reprints five early reviews of the novel. ""Dramatic and Film Variations"" focuses on theater and film adaptations of Dracula, two indications of the novel's unwavering appeal. David J. Skal, Gregory A. Waller, and Nina Auerbach offer their varied perspectives. Checklists of both dramatic and film adaptations are included.",Paperback,17245,488 pages,Dracula,697659
3.93,Revised and Expanded Edition,English,Steven D. Levitt,These may not sound like typical questions for an economist to ask. But Steven D. Levitt is not a typical economi,Hardcover,1202,320 pages,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,551371
4.22,First US Edition,English,Stieg Larsson,"When a young couple are found dead in their Stockholm apartment, it's a",Mass Market Paperback,5060378,752 pages,Flickan som lekte med elden,654465
4.3,First Printing Edition,English,Elie Wiesel," is Elie Wiesel's masterpiece, a candid, horrific, and deeply poignant autobiographical account of his survival as a teenager in the Nazi death camps. This new translation by Marion Wiesel, Elie's wife and frequent translator, presents this seminal memoir in the language and spirit truest to the author's original intent. And in a substantive new preface, Elie reflects on the enduring importance of Night and his lifelong, passionate dedication to ensuring that the world never forgets man's capacity for inhumanity to man.",Paperback,1617,120 pages,Un di Velt Hot Geshvign,713782
4.02,First Edition,English,James Dashner,"Outside the towering stone walls that surround the Glade is a limitless, ever-changing ma",Hardcover,6186357,384 pages,The Maze Runner,789556
4.25,30th Anniversary Edition,English,William Goldman,"As a boy, William Goldman claims, he loved to hear his father read the S. Morgenstern classic, The Princess Bride. But as a grown-up he discovered that the boring parts were left out of good old Dad's recitat",Paperback,21787,398 pages,The Princess Bride,659744
3.81,"Penguin, UK / CAN / USA",English,Charles Dickens,"After eighteen years as a political prisoner in the Bastille, the ageing Doctor Manette is finally released and reunited with his daughter in England. There the lives of two very different men, Charles Darnay, an exiled French aristocrat, and Sydney Carton, a disreputable but brilliant English lawyer, become enmeshed through their love for Lucie Manette. From the tranquil roads of London, they are drawn against their will to the vengeful, bloodstained streets of Paris at the height of the Reign of Terror, and they soon fall under the lethal shadow of La Guillotine.",Paperback,1953,489 pages,A Tale of Two Cities,681546
4.06,Penguin Classics,English,Jane Austen,"Marianne Dashwood wears her heart on her sleeve, and when she falls in love with the dashing but unsuitable John Willoughby she ignores her sister Elinor's warning that her impulsive behaviour leaves her open to gossip and innuendo. Meanwhile Elinor, always sensitive to social convention, is struggling to conceal her own romantic disappointment, even from those closest to her. Through their parallel experience of love—and its threatened loss—the sisters learn that sense must mix with sensibility if they are to find personal happiness in a society where status and money govern the rules of love.",Paperback,14935,409 pages,Sense and Sensibility,781882
3.75,Penguin Classics,English,Mary Wollstonecraft Shelley," when she was only eighteen. At once a Gothic thriller, a passionate romance, and a cautionary tale about the dangers of science, ",Paperback,18490,273 pages,"Frankenstein; or, The Modern Prometheus",890904
4.3,Author's Definitive Edition,English,Orson Scott Card,"Andrew ""Ender"" Wiggin thinks he is playing computer simulated war games; he is, in fact, engaged in something far more desperate. The result of genetic experimentation, Ender may be the military genius Earth desperately needs in a war against an alien enemy seeking to destroy all human life. The only way to find out is to throw Ender into ever harsher training, to chip away and find the diamond inside, or destroy him utterly. Ender Wiggin is six years old when it begins. He will grow up fast.",Mass Market Paperback,375802,324 pages,Ender's Game,880040
4.24,First edition,English,Jeannette Walls," is a remarkable memoir of resilience and redemption, and a revelatory look into a family at once deeply dysfunctional and uniquely vibrant. When sober, Jeannette's brilliant and charismatic father captured his children's imagination, teaching them physics, geology, and how to embrace life fearlessly. But when he drank, he was dishonest and destructive. Her mother was a free spirit who abhorred the idea of domesticity and didn't want the responsibility of raising a family.",Paperback,7445,288 pages,The Glass Castle,648345
4.15,Full Color Edition,English,E.B. White,"Some Pig. Humble. Radiant. These are the words in Charlotte's Web, high up in Zuckerman's barn. Charlotte's spiderweb tells of her feelings for a little pig named Wilbur, who simply wants a friend. They also express the l",Paperback,24178,184 pages,Charlotte's Web,1096812
4.07,First Edition,English,Veronica Roth,Tris's initiation day should have been marked by celebration,Hardcover,11735983,525 pages,Insurgent,952961
3.85,Vintage Contemporaries,English,Mark Haddon,"Although gifted with a superbly logical brain, for fifteen-year-old Christopher everyday interactions and admonishment",Paperback,1618,226 pages,The Curious Incident of the Dog in the Night-Time,920911
3.7,First Edition,English,Stephenie Meyer,"To be irrevocably in love with a vampire is both fantasy and nightmare woven into a dangerously heightened reality for Bella Swan. Pulled in one direction by her intense passion for Edward Cullen, and in another by her profound connection to werewolf Jacob Black, she has endured a tumultuous year of temptation, loss, and strife to reach the ultimate turning point. Her imminent choice to either join the dark but seductive world of immortals or to pursue a fully human life has become the thread from which the fates of two tribes hangs.",Hardcover,1162543,756 pages,Breaking Dawn,1111046
3.69,First Edition,English,Stephenie Meyer,"As Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge, Bella once again finds herself surrounded by danger. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob - knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella has one more decision to make: life or death. But which is which?",Hardcover,428263,629 pages,Eclipse,1181321
3.52,First Edition,English,Stephenie Meyer, ,Hardcover,49041,563 pages,"New Moon (Twilight, #2)",1203898
4.1,Penguin Classics,English,Charlotte Brontë,"Orphaned into the household of her Aunt Reed at Gateshead and subject to the cruel regime at Lowood charity school, Jane Eyre nonetheless emerges unbroken in spirit and integrity. She takes up the post of governess at Thornfield, falls in love with Mr. Rochester, and discovers the impediment to their lawful marriage in a story that transcends melodrama to portray a woman's passionate search for a wider and richer life than Victorian society traditionally allowed.",Paperback,10210,507 pages,Jane Eyre,1290643
3.74,New Folger edition,English,William Shakespeare,", Shakespeare creates a world of violence and generational conflict in which two young people fall in love and die because of that love. The story is rather extraordinary in that the normal problems faced by young lovers are here so very large. It is not simply that the families of Romeo and Juliet disapprove of the lover's affection for each other; rath",Mass Market Paperback,18135,283 pages,An Excellent conceited Tragedie of Romeo and Juliet,1683793
4.08,Large Print,English,Arthur Golden,In ,Hardcover,930,434 pages,Memoirs of a Geisha,1426217
4.23,First edition,English,Rick Riordan,. ,Paperback,28187,377 pages,The Lightning Thief,1430739
3.84,Steinbeck Centennial Edition,English,John Steinbeck,"The compelling story of two outsiders striving to find their place in an unforgiving world. Drifters in search of work, George and his simple-minded friend Lennie have nothing in the world except each other and a dream--a dream that one day they will have some land of their own. Eventually they find work on a ranch in California’s Salinas Valley, but their hopes are doomed as Lennie, struggling against extreme cruelty, misunderstanding and feelings of jealousy, becomes a victim of his own strength. Tackling universal themes such as the friendship of a shared vision, and giving voice to America’s lonely and dispossessed, ",Paperback,890,112 pages,Of Mice and Men ,1529895
4.19,Film Tie-in Edition,English,C.S. Lewis,"NARNIA...the land beyond the wardrobe, the secret country known only to Peter, Susan, Edmund, and Lucy...the place where the adventure begins.",Paperback,100915,206 pages,"The Lion, the Witch and the Wardrobe",1601226
4.61,First American Edition,English,J.K. Rowling,Their cross-country odyssey has them searching desperately fo,Hardcover,136251,759 pages,Harry Potter and the Deathly Hallows,1863821
4.53,First Scholastic Trade Paperback Edition,English,J.K. Rowling,And now that he’s gotten the hang of things at Hogwarts—he ho,Paperback,6,734 pages,Harry Potter and the Goblet of Fire,1886304
3.64,Penguin Great Books of the 20th Century,English,William Golding,The boys' struggle to find a way of existing in a community with no fixed boundaries i,Paperback,7624,182 pages,Lord of the Flies ,1684728
4.26,50th Anniversary,English,Harper Lee,"Compassionate, dramatic, and deepl",Paperback,2657,324 pages,To Kill a Mockingbird,3363373
4.34,First Edition,English,Suzanne Collins,"The nation of Panem, formed from a post-apocalyptic North America, is a country that consists of a wealthy Capitol region surrounded by 12 poorer districts. Early in its history, a rebellion led by a 13th district against the Capitol resulted in its destruction and the creation of an annual televised event known as the Hunger Games. In punishment, and as a reminder of the power and grace of the Capitol, each district must yield one boy and one girl between the ages of 12 and 18 through a lottery system to participate in the games. The 'tributes' are chosen during the annual Reaping and are forced to fight to the death, leaving only one survivor to claim victory.",Hardcover,2767052,374 pages,The Hunger Games,4991107
3.86,"Extraordinary Voyages, #6",English,Jules Verne,Jules Gabriel Verne was a French author who pioneered the genre of science-fiction. He is best known for his novels ,Hardcover,33507,394 pages,Vingt Mille Lieues Sous les Mers,149950
4.42,First Edition,English,Robert Jordan,The sun has begun to set upon the Third Age.,Hardcover,8253920,863 pages,Towers of Midnight,98883
4.3,"First Edition, US / Canada",English,Suzanne Collins,"Against all odds, Katniss has won the Hunger Games. She and fellow District 12 tribute Peeta Mellark are miraculously still alive. Katniss should be relieved, happy even. After all, she has returned to her family and her longtime friend, Gale. Yet nothing is the way Katniss wishes it to be. Gale holds her at an icy distance. Peeta has turned his back on her completely. And there are whispers of a rebellion against the Capitol - a rebellion that Katniss and Peeta may have helped create.",Hardcover,6148028,391 pages,Catching Fire,1998635
4.03,First Edition,English,Suzanne Collins,It is by design that Katniss was rescued fr,Hardcover,7260188,392 pages,Mockingjay,1881176
